section,question,source,tag_lv0,tag_lv1,tag_plus,cnt_chosen,avg_res_time
experience,How have you handled conflicts within a project team you are leading? How did you handle it?,bank,project,management,ALL,0,2
experience,Describe a long-term project that you kept on track. How did you keep everything moving?,bank,project,management,ALL,0,2
experience,Describe a time when you worked with a team to create a project on a tight budget. What did you have to prioritize?,bank,project,management,ALL,0,2
experience,What tools did you use in your last project and why?,bank,project,programming,ALL,0,2
experience,Give me an example of a time when you were able to successfully persuade someone at work to see things your way.,bank,experience,communication,ALL,0,2
experience,Tell me about your proudest professional accomplishment.,bank,experience,difficulty,ALL,0,2
experience,What is the most challenging issue you have experienced in your previous role? How did you resolve it?,bank,experience,difficulty,ALL,0,2
experience,Please recall a situation when you had to handle sensitive information. How did you approach the situation?,bank,experience,difficulty,DS,0,2
experience,Describe a time when you saw a problem and took the initiative to correct it.,bank,experience,motivation,ALL,0,2
experience,Tell me about a time you demonstrated leadership skills.,bank,experience,leadership,ALL,0,2
experience,How has your education prepared you for a data scientist role with our company?,bank,experience,education,ALL,0,2
experience,Provide an example of a decision that you made that you now realize was a poor decision. What happened? What did you do?,bank,experience,difficulty,ALL,0,2
experience,Talk about an algorithm you built or used recently. Why did you choose that alogirthm?,bank,experience,technical,DS,0,2
experience,Tell me about the most innovative solution that you have developed.,bank,experience,achivement,ALL,0,2
experience,Tell me about a time you failed.  What did you learn?  How did you deal with communicating the problem to your team?,bank,experience,difficulty,ALL,0,2
personality,"How do you stay current with trends, new technologies, and techniques in data science?",bank,management,trend,DS,0,2
personality,Describe a time when you had a disagreement with a senior over a project. How did you handle it?,bank,management,conflict,ALL,0,2
personality,Have you ever had conflicts with other team members? How did you handle it?,bank,management,conflict,ALL,0,2
personality,Some people like to carefully read and digest material before applying while others quickly learn and apply what they have read. How would you categorize yourself? Can you give an example?,bank,disposition,approach,ALL,0,2
personality,Some people research and study before acting while others move forward based on the information already available. Which way do you tend to go? ,bank,disposition,approach,ALL,0,2
personality,Can you describe a time in your life when you got really excited at work? What happened? Was this a typical response for you?,bank,enthusiasm,preference,ALL,0,2
personality,Some people feel that they are in control of their advancement while others feel that the situation determines advancement. Can you give an example of a past experience that demonstrates your belief?,bank,motivation,perspective,ALL,0,2
personality,Why did you opt for a data science career?,bank,motivation,goal,DS,0,2
personality,Do you prefer to work alone or as a part of a team of Data Scientists?,bank,disposition,team,DS,0,2
personality,Tell me about a time your responsibilities got a little overwhelming. What did you do?,bank,management,difficulty,ALL,0,2
personality,What made you want to leave your last(or current) job?,bank,motivation,goal,ALL,0,2
personality,What's your approach for managing and meeting tight deadlines?,bank,management,difficulty,ALL,0,2
personality,Tell me about a time you needed to get information from someone who wasn't very responsive. What did you do?,bank,management,difficulty,ALL,0,2
personality,Tell me about a time you set a goal for yourself. How did you go about ensuring that you would meet your objective?,bank,management,difficulty,ALL,0,2
personality,If you encountered a tedious or boring task how will you motivate yourself to complete it?,bank,motivation,difficulty,ALL,0,2
personality,Who do you think is our biggest competitor? What differentiates our companies?,bank,understanding,trend,ALL,0,2
personality,"When you have entered a new workplace in the past, describe how you have gone about meeting and developing relationships with your new coworker and supervisors.",bank,management,difficulty,ALL,0,2
personality,How would your boss and coworkers describe you?,bank,disposition,trait,ALL,0,2
personality,What is your concept of a positive work environment?,bank,motivation,perspective,ALL,0,2
personality,How do you deal with pressure or stressful situations?,bank,disposition,approach,ALL,0,2
personality,What is your approach to problem-solving? Give an example of where your approach has been effective.,bank,management,difficulty,ALL,0,2
personality,Tell me about a data professional you have worked with whom you really admired. What specifically do you admire about them?,bank,motivation,perspective,DS,0,2
personality,Describe a time when you gave constructive feedback to a team member. How do you deliver negative feedback?,bank,management,communication,ALL,0,2
personality,What career goals do you have? How do you plan to achieve them?,bank,motivation,perspective,ALL,0,2
expertise,What are some unique skills that you can bring to the team as a data scientist?,bank,speciality,skill,DS,0,2
expertise,"When you are assigned multiple projects at the same time, how best do you organize your time?",bank,management,multitask,ALL,0,2
expertise,How do you ensure members of a team you are leading work together as a unit and also cooperate with you on the project?,bank,management,leadership,ALL,0,2
expertise,Describe how you would handle a datascience project to resolve a situation where a food delivery company's delivery team could not make a delivery on time.,bank,problem solving,approach,DS,0,2
expertise,"When you handle an important project that requires systematic data acquisition and accurate analysis, what steps do you take? Give a specific example of a situation from your work experience.",bank,problem solving,approach,DS,0,2
expertise,Why boosting is a more stable algorithm as compared to other ensemble algorithms?,bank,comprehension,concept,DS,0,2
expertise,Several loss functions are available for model fitting. Please explain the limitations of the loss function when fitting the model with the gradient descent method.,bank,comprehension,concept,DS,0,2
expertise,Please explain the available models and their pros and cons for classification problem in tabular setting.,bank,comprehension,concept,DS,0,2
expertise,How do you deal with sparsity issues in recommendation systems? How do you measure its effectiveness? Explain. ,bank,comprehension,concept,DS,0,2
expertise,Tell me about a time that you got unexpected results? How did you test the validity of those results?,bank,problem solving,approach,DS,0,2
expertise,Mention why feature engineering is important in model building and list out some of the techniques used for feature engineering.,bank,comprehension,concept,DS,0,2
expertise,How would you handle an imbalanced dataset? Explain with your experience.,bank,problem solving,approach,DS,0,2
expertise,"Explain how to model given x, y pairs data in a situation where they are not independent of each other with an example.",bank,problem solving,approach,DS,0,2
expertise,How can you ensure that you don't analyze something that ends up producing meaningless results?,bank,problem solving,approach,DS,0,2
expertise,On a simplified and fundamental scale what makes the newly developed BERT model better than traditional NLP models,bank,comprehension,concept,DS,0,2
expertise,What can you bring to our company?,bank,speciality,skill,ALL,0,2
expertise,Tell me about a technical trend that's caught your eye. What about it interests you?,bank,comprehension,trend,ALL,0,2
expertise,What is your greatest professional achievement?,bank,speciality,skill,ALL,0,2
expertise,What is Transfer Learning? When should it be used?,bank,problem solving,approach,DS,0,2
expertise,Explain what is multi-task learning when should it be used.,bank,problem solving,approach,DS,0,2
knowledge,What's the difference between support a vector machine and logistic regression? Please provide examples of situations where you would choose to use one rather than the other.,bank,knowledge,technical,DS,0,2
knowledge,Give a simple mathematical argument why a mini-batch version of such ML algorithm might be computationally more efficient than a training with full data set,bank,knowledge,technical,DS,0,2
knowledge,"Give examples in which a many-to-one RNN architecture is appropriate, Give examples in which a many-to-one RNN architecture is appropriate",bank,knowledge,technical,DS,0,2
knowledge,How can we use CNN for text classification,bank,knowledge,technical,DS,0,2
knowledge,Define Term Freuency & Inverse Document Freuency TF-ID and how to use it for converting text to vector,bank,knowledge,technical,DS,0,2
knowledge,Describe the architecture of a typical Convolutional Neural Network,bank,knowledge,technical,DS,0,2
knowledge,Describe the structure of Artificial Neural Networks & RNN(recurrent neural network),bank,knowledge,technical,DS,0,2
knowledge,Describe two ways to visualize features of a CNN in an image classification task,bank,knowledge,technical,DS,0,2
knowledge,Describe difference between Vanishing gradient Vs Exploding gradient,bank,knowledge,technical,DS,0,2
knowledge,"Describe difference between various Activation functions such as Sigmoid , tanh, Softmax, ReLU, Leaky ReLU",bank,knowledge,technical,DS,0,2
knowledge,Do gradient descent methods always converge at the same point,bank,knowledge,technical,DS,0,2
knowledge,Explain the difference between Lasso and Ridge,bank,knowledge,technical,DS,0,2
knowledge,What¡¯s the difference between probability and likelihood?,bank,knowledge,technical,DS,0,2
knowledge,What do the terms prior probability and marginal likelihood in context of Naive Bayes theorem mean?,bank,knowledge,technical,DS,0,2
knowledge,What is the difference between a generative and discriminative model?,bank,knowledge,technical,DS,0,2
knowledge,"How do you explain (e.g., p-value, confidence interval) this to non-technical but super important people?",bank,knowledge,technical,DS,0,2
knowledge,What are autoencoders? Explain the different layers of autoencoders and mention three practical usages of them,bank,knowledge,technical,DS,0,2
knowledge,What is gradient descent? How does it work?,bank,knowledge,technical,DS,0,2
knowledge,Explain the difference between an epoch a batch and an iteration.,bank,knowledge,technical,DS,0,2
knowledge,What is the difference between NLP and NLU?,bank,knowledge,technical,DS,0,2
knowledge,"Explain how you get sentence meanings from word embeddings, considering the position of words in the sentence.",bank,knowledge,technical,DS,0,2
knowledge,Explain how does an LSTM Network Work.,bank,knowledge,technical,DS,0,2
knowledge,Explain how does batch size affect training of neural networks.,bank,knowledge,technical,DS,0,2
knowledge,Explain how does BatchNormalization differ in training and inferencing.,bank,knowledge,technical,DS,0,2
knowledge,Explain how does CNN help in translation and rotation invariance of images.,bank,knowledge,technical,DS,0,2
knowledge,Expalin how large should be N for our bag of words when using N-grams.,bank,knowledge,technical,DS,0,2
knowledge,Expalin how to handle dying node problems in case of ReLU activation function.,bank,knowledge,technical,DS,0,2
knowledge,Expalin how to handle exploding gradient problem.,bank,knowledge,technical,DS,0,2
knowledge,Expalin how to know whether your model is suffering from the problem of Exploding Gradients.,bank,knowledge,technical,DS,0,2
knowledge,How would you choose the number of filters and the filter size at each CNN layer?,bank,knowledge,technical,DS,0,2
knowledge,How would you initialize weights in a neural network?,bank,knowledge,technical,DS,0,2
knowledge,Is the dropout technique used on the test set?,bank,knowledge,technical,DS,0,2
knowledge,What are some advantages in using a CNN(convolutional neural network) rather than a DNN(dense neural network) in an image classification task,bank,knowledge,technical,DS,0,2
knowledge,Suppose you have a NN with layers and ReLU activations What will happen if we initialize all the weights with the same value,bank,knowledge,technical,DS,0,2
knowledge,What are some advantages of using character embeddings instead of word embeddings,bank,knowledge,technical,DS,0,2
knowledge,What are the advantages and disadvantages of bag of words,bank,knowledge,technical,DS,0,2
knowledge,What are the advantages and disadvantages of SGD over gradient descent,bank,knowledge,technical,DS,0,2
knowledge,What are the advantages of parameter sharing in case of convolution,bank,knowledge,technical,DS,0,2
knowledge,What are the main assumptions of linear regression?,bank,knowledge,technical,DS,0,2
knowledge,How do we check if a variable follows the normal distribution?,bank,knowledge,technical,DS,0,2
knowledge,What if we want to build a model for predicting prices? Are prices distributed normally? Do we need to do any pre-processing for prices?,bank,knowledge,technical,DS,0,2
knowledge,Which metrics for evaluating regression models do you know? ,bank,knowledge,technical,DS,0,2
knowledge,For online learning which one would you prefer SGD or Adagrad and why,bank,knowledge,technical,DS,0,2
knowledge,What Is a Multi-layer Perceptron MLPWhat Is a Multi-layer Perceptron MLP,bank,knowledge,technical,DS,0,2
knowledge,What do you understand by Boltzmann Machine and Restricted Boltzmann Machines,bank,knowledge,technical,DS,0,2
knowledge,What can go wrong if we use a linear activation instead of ReLU,bank,knowledge,technical,DS,0,2
knowledge,Is logistic regression a linear model? Why?,bank,knowledge,technical,DS,0,2
knowledge,How do you select important variables while working on a data set?,bank,knowledge,technical,DS,0,2
knowledge,"There are many machine learning algorithms till now. If given a data set, how can one determine which algorithm to be used for that?",bank,knowledge,technical,DS,0,2
knowledge,How are covariance and correlation different from one another?,bank,knowledge,technical,DS,0,2
knowledge,State the differences between causality and correlation?,bank,knowledge,technical,DS,0,2
knowledge,A data set is given to you and it has missing values which spread along 1 standard deviation from the mean. How much of the data would remain untouched?,bank,knowledge,technical,DS,0,2
knowledge,"If your dataset is suffering from high variance, how would you handle it?",bank,knowledge,technical,DS,0,2
knowledge,"A data set is given to you about utilities fraud detection. You have built a classifier model and achieved a performance score of 98.5%. Is this a goodmodel? If yes, justify. If not, what can you do about it?",bank,knowledge,technical,DS,0,2
knowledge,Why is rotation of components so important in Principle Component Analysis (PCA)?,bank,knowledge,technical,DS,0,2
knowledge,Can you explain what are the Dropout and Batch Normalization and when to use?,bank,technical,concept,DS,0,2
knowledge,Can you explain the advantages and disadvantages of XGBoost?,bank,technical,concept,DS,0,2
knowledge,List all assumptions for data to be met before starting with linear regression.,bank,technical,concept,DS,0,2
knowledge,Please explain what the trade off between bias and variance of estimator is.,bank,technical,concept,DS,0,2
knowledge,Please explain what ERM(Empirical Risk Minimization) approach is.,bank,technical,concept,DS,0,2
knowledge,Please explain what PAC (Probably Approximately Correct) learning is.,bank,technical,concept,DS,0,2
knowledge,What are MSE and RMSE?,bank,technical,concept,DS,0,2
knowledge,What is the bias-variance trade-off?,bank,technical,concept,DS,0,2
knowledge,What is overfitting?,bank,technical,concept,DS,0,2
knowledge,How to validate your models?,bank,technical,concept,DS,0,2
knowledge,"Why do we need to split our data into three parts: train, validation, and test?",bank,technical,concept,DS,0,2
knowledge,Can you explain how cross-validation works?,bank,technical,concept,DS,0,2
knowledge,What is the difference between LSTM and GRU,bank,technical,concept,DS,0,2
knowledge,What is the difference between machine learning and deep learning,bank,technical,concept,DS,0,2
knowledge,What is the difference between online and batch learning,bank,technical,concept,DS,0,2
knowledge,"What is the difference between stochastic gradient descent SGD and gradient descent GD, Batch gradient descent, Stochastic gradient descent, Mini-batch gradient descent , what are the pros and cons for each of them",bank,technical,concept,DS,0,2
knowledge,What is the main difference between Adam and SGD,bank,technical,concept,DS,0,2
knowledge,What is the range of activation functions,bank,technical,concept,DS,0,2
knowledge,What is the R-Suared value,bank,technical,concept,DS,0,2
knowledge,What is the use of the leaky ReLU function,bank,technical,concept,DS,0,2
knowledge,What is vanishing gradient descent,bank,technical,concept,DS,0,2
knowledge,what is WordVec,bank,technical,concept,DS,0,2
knowledge,What problem does Bi-LSTM solve instead of only LSTM,bank,technical,concept,DS,0,2
knowledge,"When using mini batch gradient descent, why is it important to shuffle the data",bank,technical,concept,DS,0,2
knowledge,When would you use GD over SDG and vice-versa,bank,technical,concept,DS,0,2
knowledge,which one is more powerful a layer decision tree or a -layer neural network without any activation function --> Hint non-linearity,bank,technical,concept,DS,0,2
knowledge,Why do segmentation CNNs typically have an encoder-decoder style / structure,bank,technical,concept,DS,0,2
knowledge,Why do we use convolutions for images rather than just Fully Connected layers,bank,technical,concept,DS,0,2
knowledge,Why don't we use the Relu activation function in the output layer,bank,technical,concept,DS,0,2
knowledge,Why is Rectified Linear Unit a good activation function,bank,technical,concept,DS,0,2
knowledge,Why large filter sizes in early layers can be a bad choice How to choose filter size,bank,technical,concept,DS,0,2
knowledge,Why Sigmoid or Tanh is not preferred to be used as the activation function in the hidden layer of the neural network,bank,technical,concept,DS,0,2
knowledge,Why Tanh activation function preferred over sigmoid,bank,technical,concept,DS,0,2
knowledge,Why we generally use Softmax non-linearity function as the last operation in-network,bank,technical,concept,DS,0,2
knowledge,Why weights are initialized with small random numbers in a neural network What happens when weights are all or constant values,bank,technical,concept,DS,0,2
knowledge,Why would you use many small convolutional kernels such as x rather than a few large onesWhy would you use many small convolutional kernels such as x rather than a few large ones,bank,technical,concept,DS,0,2
knowledge,Would you prefer gradient boosting trees model or logistic regression when doing text classification with bag of words,bank,technical,concept,DS,0,2
knowledge,What are Recommender Systems,bank,technical,concept,DS,0,2
knowledge,Undersampling vs Oversampling,bank,technical,concept,DS,0,2
knowledge,What is reinforcement learning,bank,technical,concept,DS,0,2
knowledge,Do we call Knn a lazy algorithm,bank,technical,concept,DS,0,2
knowledge,Define a Monte Carlo simulation,bank,technical,concept,DS,0,2
knowledge,Does Kmeans and Kmeans++ is same,bank,technical,concept,DS,0,2
knowledge,What is pruning in Decision Tree,bank,technical,concept,DS,0,2
knowledge,How does an XGB control overfitting,bank,technical,concept,DS,0,2
knowledge,What is the class imbalance problem,bank,technical,concept,DS,0,2
knowledge,Why is lightGBM prone to overfitting,bank,technical,concept,DS,0,2
knowledge,Name any one distance based algorithm,bank,technical,concept,DS,0,2
knowledge,What is the objective function for Knn,bank,technical,concept,DS,0,2
knowledge,What is the standard error of the mean,bank,technical,concept,DS,0,2
knowledge,What are some disadvantages of K-means,bank,technical,concept,DS,0,2
knowledge,What is data augmentation Give examples,bank,technical,concept,DS,0,2
knowledge,What is Euclidean and Manhatten distance,bank,technical,concept,DS,0,2
knowledge,What is the role of gamma in RBF kernels,bank,technical,concept,DS,0,2
knowledge,How would you handle an imbalanced dataset,bank,technical,concept,DS,0,2
knowledge,Is it a good idea to combine multiple trees,bank,technical,concept,DS,0,2
knowledge,How do support vector machine algorithms work,bank,technical,concept,DS,0,2
knowledge,What is the significance of Residual Networks,bank,technical,concept,DS,0,2
knowledge,What does it mean to have low MAE and high MSE,bank,technical,concept,DS,0,2
knowledge,What are the disadvantages of linear regression,bank,technical,concept,DS,0,2
knowledge,What is a recommendation engine How does it work,bank,technical,concept,DS,0,2
knowledge,What is K-means How can you select K for K-means,bank,technical,concept,DS,0,2
knowledge,Does Radial basis kernel function is there in SVM,bank,technical,concept,DS,0,2
knowledge,What is linear regression Why is it called linear,bank,technical,concept,DS,0,2
knowledge,Is pruning always a good method to construct a tree,bank,technical,concept,DS,0,2
knowledge,What is the difference between bagging and boosting,bank,technical,concept,DS,0,2
knowledge,Which algorithm uses margin to classify the classes,bank,technical,concept,DS,0,2
knowledge,What algorithm can be used to summarize twitter feed,bank,technical,concept,DS,0,2
knowledge,How do you generate arbitrary or random shape clusters,bank,technical,concept,DS,0,2
knowledge,How to compute standard error of median in a simple way,bank,technical,concept,DS,0,2
knowledge,How does GBDTs decide to split a node What does it minimize,bank,technical,concept,DS,0,2
knowledge,What is the difference between R-suare and Adjusted R-suare,bank,technical,concept,DS,0,2
knowledge,How is matrix factorization useful in recommendation systems,bank,technical,concept,DS,0,2
knowledge,What are the approximation methods in Reinforcement Learning,bank,technical,concept,DS,0,2
knowledge,What is the difference between an error and a residual error,bank,technical,concept,DS,0,2
knowledge,Why does training an SVM takes a long time How can I speed up,bank,technical,concept,DS,0,2
knowledge,Difference between bagging boosting and the relation to bayes theorem,bank,technical,concept,DS,0,2
knowledge,Which algorithm takes the data to the next dimension and then classify,bank,technical,concept,DS,0,2
knowledge,What are categorical variables and what do we do with categorical variables,bank,technical,concept,DS,0,2
knowledge,What is linear regression? When do we use it?,bank,technical,concept,DS,0,2
knowledge,What is classification? Which models would you use to solve a classification problem?,bank,technical,concept,DS,0,2
knowledge,What is SGD ? stochastic gradient descent? What's the difference with the usual gradient descent?,bank,technical,concept,DS,0,2
knowledge,What is Adam? What's the main difference between Adam and SGD?,bank,technical,concept,DS,0,2
knowledge,What's singular value decomposition? How is it typically used for machine learning?,bank,technical,concept,DS,0,2
knowledge,Why do we actually need convolutions? Can't we use fully-connected layers for that?,bank,technical,concept,DS,0,2
knowledge,What are word embeddings? Why are they useful? Do you know Word2Vec?,bank,technical,concept,DS,0,2
knowledge,What is bag of words? How we can use it for text classification?,bank,technical,concept,DS,0,2
knowledge,What is TF-IDF? How is it useful for text classification?,bank,technical,concept,DS,0,2
knowledge,What is the ranking problem? Which models can you use to solve them?,bank,technical,concept,DS,0,2
knowledge,What is object detection? Do you know any architectures for that?,bank,technical,concept,DS,0,2
knowledge,What is object segmentation? Do you know any architectures for that?,bank,technical,concept,DS,0,2
knowledge,What is ReLU? How is it better than sigmoid or tanh?,bank,technical,concept,DS,0,2
knowledge,How would you evaluate your ranking algorithms? Which offline metrics would you use?,bank,technical,concept,DS,0,2
knowledge,What is backpropagation? How does it work? Why do we need it?,bank,technical,concept,DS,0,2
knowledge,How does max pooling work? Are there other pooling techniques?,bank,technical,concept,DS,0,2
knowledge,What is dropout? Why is it useful? How does it work?,bank,technical,concept,DS,0,2
knowledge,What is the confusion table? What are the cells in this table?,bank,technical,concept,DS,0,2
knowledge,"If there's a trend in our series, how we can remove it? And why would we want to do it?",bank,technical,concept,DS,0,2
knowledge,You have a series with a variable ?œy??and a set of features. How do you predict ?œy??at t+1? Which approaches would you use?,bank,technical,concept,DS,0,2
knowledge,When do we need to perform feature normalization for linear models? When it's okay not to do it?,bank,technical,concept,DS,0,2
knowledge,What's the difference between grid search parameter tuning strategy and random search? When to use one or another?,bank,technical,concept,DS,0,2
knowledge,What is logistic regression? When do we need to use it?,bank,technical,concept,DS,0,2
knowledge,What is the curse of dimensionality? Why do we care about it?,bank,technical,concept,DS,0,2
knowledge,What is the area under the PR curve? Is it a useful metric?,bank,technical,concept,DS,0,2
knowledge,How do we choose K in K-fold cross-validation? What's your favorite K?,bank,technical,concept,DS,0,2
knowledge,What are N-grams? How can we use them?,bank,technical,concept,DS,0,2
knowledge,What are augmentations? Why do we need them?,bank,technical,concept,DS,0,2
knowledge,What is clustering? When do we need it?,bank,technical,concept,DS,0,2
knowledge,What's pooling in CNN? Why do we need it?,bank,technical,concept,DS,0,2
knowledge,Is it easy to parallelize training of a random forest model? How can we do it?,bank,technical,concept,DS,0,2
knowledge,What is feature selection? Why do we need it?,bank,technical,concept,DS,0,2
knowledge,What is regression? Which models can you use to solve a regression problem?,bank,technical,concept,DS,0,2
knowledge,What is regularization? Why do we need it?,bank,technical,concept,DS,0,2
knowledge,What is transfer learning? How does it work?,bank,technical,concept,DS,0,2
knowledge,What is AUC (AU ROC)? When to use it?,bank,technical,concept,DS,0,2
knowledge,What is sigmoid? What does it do?,bank,technical,concept,DS,0,2
knowledge,What is the ROC curve? When to use it?,bank,technical,concept,DS,0,2
personality,Explain three different types of activation functions,bank,technical,concept,DS,0,2
personality,Explain why dropout in a neural network acts as a regularizer,bank,technical,concept,DS,0,2
knowledge,What is PoS Tagging,bank,technical,concept,DS,0,2
knowledge,What is tokenization,bank,technical,concept,DS,0,2
knowledge,What is topic modeling,bank,technical,concept,DS,0,2
knowledge,What is back propagation,bank,technical,concept,DS,0,2
knowledge,What is the idea behind GANs,bank,technical,concept,DS,0,2
knowledge,What is the Computational Graph,bank,technical,concept,DS,0,2
knowledge,What is sigmoid What does it do,bank,technical,concept,DS,0,2
knowledge,What is Named-Entity Recognition,bank,technical,concept,DS,0,2
knowledge,Explain the masked language model,bank,technical,concept,DS,0,2
knowledge,How do you preprocess text in NLP,bank,technical,concept,DS,0,2
knowledge,How do you extract features in NLP,bank,technical,concept,DS,0,2
knowledge,How is wordvec different from Glove,bank,technical,concept,DS,0,2
knowledge,What Are the Different Layers on CNN,bank,technical,concept,DS,0,2
knowledge,What makes CNNs translation invariant,bank,technical,concept,DS,0,2
knowledge,How is fastText different from wordvec,bank,technical,concept,DS,0,2
knowledge,Explain Generative Adversarial Network,bank,technical,concept,DS,0,2
knowledge,What is backward and forward propagation,bank,technical,concept,DS,0,2
knowledge,What are Syntactic and Semantic Analysis,bank,technical,concept,DS,0,2
knowledge,What is a local optimumWhat is a local optimum,bank,technical,concept,DS,0,2
knowledge,Explain gates used in LSTM with their functions,bank,technical,concept,DS,0,2
knowledge,What is ReLU How is it better than sigmoid or tanh,bank,technical,concept,DS,0,2
knowledge,What is SGD ??? stochastic gradient descent? What's the difference with the usual gradient descent?,bank,technical,concept,DS,0,2
spare,Why do you want this job?,bank,All Positions,general,need_to_modify,0,2
spare,What are your greatest strengths?,bank,All Positions,general,need_to_modify,0,2
spare,What do you consider to be your weaknesses?,bank,All Positions,general,need_to_modify,0,2
spare,What's a time you disagreed with a decision that was made at work?,bank,All Positions,general,need_to_modify,0,2
spare,How do you stay organized?,bank,All Positions,general,need_to_modify,0,2
spare,How do you like to be managed?,bank,All Positions,general,need_to_modify,0,2
spare,Do you consider yourself successful?,bank,All Positions,general,need_to_modify,0,2
spare,Where do you see yourself in five years?,bank,All Positions,general,need_to_modify,0,2
spare,How do you plan to achieve your career goals?,bank,All Positions,general,need_to_modify,0,2
spare,What are your career aspirations?,bank,All Positions,general,need_to_modify,0,2
spare,What's your dream job?,bank,All Positions,general,need_to_modify,0,2
spare,What other companies are you interviewing with?,bank,All Positions,general,need_to_modify,0,2
spare,What makes you unique?,bank,All Positions,general,need_to_modify,0,2
spare,What should I know that's not on your resume?,bank,All Positions,general,need_to_modify,0,2
spare,What would your first few months look like in this role?,bank,All Positions,general,need_to_modify,0,2
spare,What are your salary expectations?,bank,All Positions,general,need_to_modify,0,2
spare,What do you think we could do better or differently?,bank,All Positions,general,need_to_modify,0,2
spare,When can you start?,bank,All Positions,general,need_to_modify,0,2
spare,Are you willing to relocate?,bank,All Positions,general,need_to_modify,0,2
spare,How many tennis balls can you fit into a limousine?,bank,All Positions,general,need_to_modify,0,2
spare,"If you were an animal, which one would you want to be?",bank,All Positions,general,need_to_modify,0,2
spare,Sell me this pen.,bank,All Positions,general,need_to_modify,0,2
spare,Is there anything else you?™d like us to know?,bank,All Positions,general,need_to_modify,0,2
spare,Do you have any questions for us?,bank,All Positions,general,need_to_modify,0,2
spare,team,bank,All Positions,general,need_to_modify,0,2
spare,Give me an example of a time you managed numerous responsibilities. How did you handle that?,bank,All Positions,general,need_to_modify,0,2
spare,Tell me about a time when you worked under either extremely close supervision or extremely loose supervision. How did you handle that?,bank,All Positions,general,need_to_modify,0,2
spare,Give me an example of a time you were able to be creative with your work. What was exciting or difficult about it?,bank,All Positions,general,need_to_modify,0,2
spare,Tell me about a time you were dissatisfied in your role. What could have been done to make it better?,bank,All Positions,general,need_to_modify,0,2
spare,What are you looking for in terms of career development?,bank,All Positions,general,need_to_modify,0,2
spare,How do you want to improve yourself in the next year?,bank,All Positions,general,need_to_modify,0,2
spare,What kind of goals would you have in mind if you got this job?,bank,All Positions,general,need_to_modify,0,2
spare,"If I were to ask your last supervisor to provide you additional training or exposure, what would she suggest?",bank,All Positions,general,need_to_modify,0,2
spare,Who has impacted you most in your career and how?,bank,All Positions,general,need_to_modify,0,2
spare,What is your greatest fear?,bank,All Positions,general,need_to_modify,0,2
spare,What is your biggest regret and why?,bank,All Positions,general,need_to_modify,0,2
spare,What's the most important thing you learned in school?,bank,All Positions,general,need_to_modify,0,2
spare,Why did you choose your major?,bank,All Positions,general,need_to_modify,0,2
